Array riordinato: 
Elemento 1: -10.2108
Elemento 2: -9.12289
Elemento 3: -8.65663
Elemento 4: -8.59639
Elemento 5: -8.08916
Elemento 6: -7.9253
Elemento 7: -7.70964
Elemento 8: -7.26747
Elemento 9: -7.11687
Elemento 10: -7.06386
Elemento 11: -6.76024
Elemento 12: -6.7506
Elemento 13: -6.65542
Elemento 14: -6.21205
Elemento 15: -6.14217
Elemento 16: -6.06867
Elemento 17: -5.90361
Elemento 18: -5.79518
Elemento 19: -5.78313
Elemento 20: -5.5506
Elemento 21: -5.4759
Elemento 22: -5.45904
Elemento 23: -5.38313
Elemento 24: -5.37349
Elemento 25: -5.25542
Elemento 26: -5.2
Elemento 27: -5.1759
Elemento 28: -5.13253
Elemento 29: -5.10843
Elemento 30: -5.05663
Elemento 31: -5.03976
Elemento 32: -4.94578
Elemento 33: -4.8988
Elemento 34: -4.71687
Elemento 35: -4.58554
Elemento 36: -4.5241
Elemento 37: -4.31807
Elemento 38: -4.31084
Elemento 39: -4.26988
Elemento 40: -4.26024
Elemento 41: -4.21446
Elemento 42: -4.19036
Elemento 43: -4.14337
Elemento 44: -4.11084
Elemento 45: -4.09518
Elemento 46: -4.09157
Elemento 47: -3.97108
Elemento 48: -3.93012
Elemento 49: -3.92169
Elemento 50: -3.75301
Elemento 51: -3.74819
Elemento 52: -3.71687
Elemento 53: -3.70964
Elemento 54: -3.7
Elemento 55: -3.62771
Elemento 56: -3.61687
Elemento 57: -3.60482
Elemento 58: -3.59639
Elemento 59: -3.59036
Elemento 60: -3.53133
Elemento 61: -3.42169
Elemento 62: -3.39639
Elemento 63: -3.39277
Elemento 64: -3.37349
Elemento 65: -3.33735
Elemento 66: -3.32048
Elemento 67: -3.30723
Elemento 68: -3.27831
Elemento 69: -3.27229
Elemento 70: -3.24458
Elemento 71: -3.21807
Elemento 72: -3.1253
Elemento 73: -3.0988
Elemento 74: -3.09759
Elemento 75: -3.09639
Elemento 76: -3.03012
Elemento 77: -2.99398
Elemento 78: -2.98916
Elemento 79: -2.95904
Elemento 80: -2.93614
Elemento 81: -2.91928
Elemento 82: -2.8253
Elemento 83: -2.8241
Elemento 84: -2.82169
Elemento 85: -2.78916
Elemento 86: -2.76506
Elemento 87: -2.57952
Elemento 88: -2.56265
Elemento 89: -2.55904
Elemento 90: -2.54337
Elemento 91: -2.53855
Elemento 92: -2.52892
Elemento 93: -2.51807
Elemento 94: -2.49518
Elemento 95: -2.49157
Elemento 96: -2.4747
Elemento 97: -2.4494
Elemento 98: -2.41084
Elemento 99: -2.3988
Elemento 100: -2.35904
Elemento 101: -2.35301
Elemento 102: -2.33012
Elemento 103: -2.32048
Elemento 104: -2.31928
Elemento 105: -2.30241
Elemento 106: -2.27831
Elemento 107: -2.27108
Elemento 108: -2.26988
Elemento 109: -2.26145
Elemento 110: -2.23855
Elemento 111: -2.23133
Elemento 112: -2.23012
Elemento 113: -2.21084
Elemento 114: -2.18434
Elemento 115: -2.1747
Elemento 116: -2.15904
Elemento 117: -2.13976
Elemento 118: -2.13494
Elemento 119: -2.09277
Elemento 120: -1.99277
Elemento 121: -1.93855
Elemento 122: -1.91928
Elemento 123: -1.90482
Elemento 124: -1.8988
Elemento 125: -1.88675
Elemento 126: -1.85422
Elemento 127: -1.85422
Elemento 128: -1.84217
Elemento 129: -1.81446
Elemento 130: -1.74578
Elemento 131: -1.73735
Elemento 132: -1.73253
Elemento 133: -1.7241
Elemento 134: -1.71084
Elemento 135: -1.68554
Elemento 136: -1.65301
Elemento 137: -1.62048
Elemento 138: -1.61446
Elemento 139: -1.60843
Elemento 140: -1.59398
Elemento 141: -1.58072
Elemento 142: -1.55301
Elemento 143: -1.54819
Elemento 144: -1.53614
Elemento 145: -1.51325
Elemento 146: -1.50964
Elemento 147: -1.47711
Elemento 148: -1.47108
Elemento 149: -1.44699
Elemento 150: -1.43735
Elemento 151: -1.4241
Elemento 152: -1.36024
Elemento 153: -1.3253
Elemento 154: -1.31446
Elemento 155: -1.31205
Elemento 156: -1.29036
Elemento 157: -1.28916
Elemento 158: -1.28434
Elemento 159: -1.2759
Elemento 160: -1.2747
Elemento 161: -1.23735
